date,open,high,low,close,volume
2019-04-02,47.42,47.78,46.2,47.46,9697675
2019-04-03,47.75,48.6,47.4,47.65,9741796
2019-04-04,47.68,47.82,46.58,46.96,6941803
2019-04-05,47.08,47.54,46.675,47.29,5977000
2019-04-08,47.23,47.63,46.37,47.57,5563806
2019-04-09,47.19,47.65,46.85,47.01,5091005
2019-04-10,47.34,47.96,47.15,47.86,3548256
2019-04-11,48.06,48.24,46.855,47.17,5198572
2019-04-12,47.4,47.68,46.94,47.28,3802097
2019-04-15,47.27,47.57,45.64,45.75,7343713
2019-04-16,45.95,45.95,44.74,45.06,9742206
2019-04-17,45.17,45.34,43.96,44.98,6663148
2019-04-18,45.18,45.59,44.65,45.31,4582974
2019-04-22,45.24,45.53,44.7,45.34,4229733
2019-04-23,45.6,46.76,45.47,46.51,6263448
2019-04-24,46.45,46.89,46.04,46.75,5327783
2019-04-25,46.66,47.46,46.135,47.41,7637293
2019-04-26,47.48,48.48,47.3,48.15,6233157
2019-04-29,48.43,48.98,48.215,48.4,7098558
2019-04-30,48.41,48.65,47.775,48.21,6906419
2019-05-01,48.35,49.56,48.24,48.56,9474529
2019-05-02,48.78,49.83,48.72,49.55,13565613
2019-05-03,48.2,48.67,46.16,47.15,25671038
2019-05-06,46.03,48.2,46.0,48.16,10300531
2019-05-07,47.71,47.97,46.35,46.68,7918512
2019-05-08,47.05,47.315,46.4,46.82,9392536
2019-05-09,46.14,47.04,45.7,46.64,7115442
2019-05-10,46.56,46.63,43.52,46.02,5415428
2019-05-13,44.73,45.13,43.17,43.41,9803138
2019-05-14,43.7,45.175,43.38,44.7,7171473
2019-05-15,44.49,46.52,44.43,46.28,6965609
2019-05-16,46.27,47.32,45.82,47.29,5798707
2019-05-17,46.81,47.365,46.295,46.39,4280786
2019-05-20,45.65,45.65,43.33,43.61,9204236
2019-05-21,43.97,44.055,43.4,43.45,8279606
2019-05-22,42.94,43.64,42.83,42.91,7222887
2019-05-23,42.43,42.79,41.95,42.19,7390117
2019-05-24,42.46,42.78,41.84,42.29,5076257
2019-05-28,43.76,44.7,43.275,43.5,12150257
2019-05-29,43.2,44.16,42.84,43.99,9134322
2019-05-30,44.04,44.48,43.16,43.56,5552898
2019-05-31,43.11,43.78,43.01,43.37,5978703
